"PROBEID","t","p","padj","SYMBOL"
"223623_at",8.76149360782715,1.38529053696893e-12,3.15138159301551e-12,"ECRG4"
"224911_s_at",8.74729575797132,2.54214043334278e-14,6.43308595611206e-14,"DCBLD2"
"242321_at",8.72760758204804,3.35512545279016e-13,8.00108577604631e-13,"PTPN14"
"209894_at",8.72629798160953,1.85981488007771e-14,4.77747748556874e-14,"LEPR|LEPROT"
"206710_s_at",8.71217839362136,1.27149743870663e-14,3.31065064397933e-14,"EPB41L3"
"202409_at",8.70540028475065,1.19242597663076e-14,3.11536547819402e-14,"IGF2|INS-IGF2"
"202222_s_at",8.69811505686619,1.54251236970885e-12,3.49864657485074e-12,"DES"
"220244_at",8.68528920988538,6.941533165084e-13,1.61511964676954e-12,"LINC00312"
"221911_at",8.65158558442172,1.74740323362479e-14,4.49625941290682e-14,"ETV1"
"205782_at",8.63953523560749,2.37281725632671e-12,5.31108657812309e-12,"FGF7"
"205433_at",8.6353807599447,3.13960651470922e-12,6.95620488280725e-12,"BCHE"
"225575_at",8.62390991330973,9.265390361612e-13,2.13312972084631e-12,"LIFR"
"219434_at",8.62348105564249,1.37104539207894e-13,3.3424689415173e-13,"TREM1"
"209676_at",8.60945952864139,8.7735870433295e-14,2.17000997792205e-13,"TFPI"
"220037_s_at",8.60409441682468,2.67330398731191e-12,5.95753770680428e-12,"LYVE1"
"202037_s_at",8.59288658342315,3.34759887265012e-12,7.40632062720714e-12,"SFRP1"
"205568_at",8.5760884877669,1.13595081571829e-13,2.78708445330882e-13,"AQP9"
"206326_at",8.53607027655117,9.22367940316802e-13,2.12672487443528e-12,"GRP"
"231240_at",8.51786703971588,1.81369435757852e-13,4.40756517690906e-13,"DIO2"
"203423_at",8.5119049219357,1.87422994511024e-13,4.54026273095534e-13,"RBP1"
"219789_at",8.48545279529775,2.68902923965911e-12,5.98387175278794e-12,"NPR3"
"213817_at",8.41036688267439,3.2199963558533e-13,7.69081812919095e-13,"IRAK3"
"227526_at",8.40780997154669,1.76546122937877e-12,3.98073805917364e-12,"CDON"
"220595_at",8.34057633156887,1.35827449722151e-11,2.87623548443447e-11,"PDZRN4"
"204439_at",8.30408159356245,4.20572706260978e-13,9.92136846356792e-13,"IFI44L"
"204471_at",8.26592851613237,1.05009779440856e-11,2.2453906749155e-11,"GAP43"
"213974_at",8.26241548583687,1.28146010028979e-11,2.71733436778901e-11,"ADAMTSL3"
"204844_at",8.23706651447437,6.82252345691511e-13,1.58984526827048e-12,"ENPEP"
"205681_at",8.22720736863265,3.47100914765848e-13,8.2645645490904e-13,"BCL2A1"
"1554195_a_at",8.2246864302271,9.75736153479403e-12,2.09222976327306e-11,"C5orf46"
"226071_at",8.22156326983898,8.95015887162501e-12,1.92453556635644e-11,"ADAMTSL4"
"211276_at",8.21921773112067,2.00709915614373e-11,4.22097363743962e-11,"TCEAL2"
"231964_at",8.20851764215336,2.42134149721987e-13,5.80792460137749e-13,"BICD1"
"226303_at",8.20796234025264,2.53866532312964e-12,5.66573849812169e-12,"PGM5"
"213791_at",8.18999476178953,1.8986911629261e-11,3.99848166497918e-11,"PENK"
