"","Probeset_ID","t_stats","p_value","adjust_p"
"204784_s_at.t","204784_s_at",2.80602814517219,0.00578113427184216,0.00766977172460168
"204787_at.t","204787_at",13.9369839804229,1.41270823807491e-24,7.89363617698063e-24
"204793_at.t","204793_at",11.284390818451,4.33363438513073e-18,1.46787483266264e-17
"204796_at.t","204796_at",10.8702199926961,9.74233105741504e-17,3.00715904211742e-16
"204797_s_at.t","204797_s_at",13.7864907031177,4.09860271031182e-23,2.0573641801598e-22
"204818_at.t","204818_at",-4.45435413918022,1.9264202824644e-05,2.96119422937048e-05
"204844_at.t","204844_at",8.23706651447437,6.82252345691511e-13,1.58984526827048e-12
"204894_s_at.t","204894_s_at",17.0610086485774,5.88837289961999e-33,7.97796363656479e-32
"204895_x_at.t","204895_x_at",-9.55015404611566,6.1981385263129e-16,1.80063568952278e-15
"204913_s_at.t","204913_s_at",6.56195801369805,9.63541947245843e-09,1.76880422210238e-08
"204914_s_at.t","204914_s_at",8.95180811778767,1.9956337826207e-13,4.80395490753505e-13
"204920_at.t","204920_at",-5.09954901856078,1.34298487613248e-06,2.21563560922288e-06
"204938_s_at.t","204938_s_at",17.8350607032901,2.65111885556332e-28,2.0708484529936e-27
"204939_s_at.t","204939_s_at",19.0682039198862,3.7746497077997e-35,7.22373587830168e-34
"204940_at.t","204940_at",17.6676997610401,1.06554567415434e-29,9.94725870201403e-29
"204955_at.t","204955_at",15.4000159331087,2.14088721747009e-28,1.69828929012783e-27
"204959_at.t","204959_at",14.9447863572018,5.97788722123589e-29,4.97399203027834e-28
"204963_at.t","204963_at",11.9820344526859,3.86977441326443e-21,1.65031326649243e-20
"205009_at.t","205009_at",-5.63277276037798,1.67161811215034e-07,2.87879339674035e-07
"205043_at.t","205043_at",-4.21190439076292,4.95477226415793e-05,7.44431436351893e-05
"205044_at.t","205044_at",-2.27105622555024,0.0250848813915571,0.0315830208967714
"205064_at.t","205064_at",3.34410801970273,0.0012845487345349,0.00177976842766781
"205100_at.t","205100_at",18.6194960740591,7.87203181270395e-33,1.05720006186401e-31
"205110_s_at.t","205110_s_at",3.00631815696134,0.00317019728250071,0.00427627492467716
"205122_at.t","205122_at",9.71779528962109,8.9371672448972e-17,2.76420263675507e-16
"205139_s_at.t","205139_s_at",9.80114955615073,1.63049921074322e-15,4.55528155410196e-15
"205157_s_at.t","205157_s_at",4.69260353346335,1.07395029393701e-05,1.68120439674598e-05
"205168_at.t","205168_at",20.3880109009181,4.80234975474763e-37,1.47047949490372e-35
"205184_at.t","205184_at",2.32559581578299,0.0221617446402205,0.0280642109546548
"205199_at.t","205199_at",-3.82710257573814,0.00021265371019116,0.000308877927049997
"205206_at.t","205206_at",12.0978307886725,9.26575164898923e-23,4.44650024528743e-22
"205207_at.t","205207_at",5.71501469832864,1.46703590162666e-07,2.53502479163705e-07
"205220_at.t","205220_at",3.86096852845724,0.000193632918593424,0.000282066601680811
"205226_at.t","205226_at",10.7227924843146,4.3635514823941e-18,1.4747455451535e-17
"205229_s_at.t","205229_s_at",-2.37941346607868,0.0188196101930108,0.0240708631624891
"205237_at.t","205237_at",9.35364148911691,4.67205142701904e-14,1.17260831717478e-13
"205242_at.t","205242_at",5.66278908858226,1.50074196642024e-07,2.59034492738376e-07
"205249_at.t","205249_at",11.9045711056042,1.20552101849036e-20,4.9748050655222e-20
"205269_at.t","205269_at",10.5506916147667,6.47084475432781e-19,2.32555476968917e-18
"205311_at.t","205311_at",-5.25576270869445,9.39887830589923e-07,1.56409594416649e-06
"205330_at.t","205330_at",14.5332574284901,1.21184121973571e-26,8.13740748866392e-26
"205342_s_at.t","205342_s_at",-2.73631116286893,0.00713920493339181,0.00939013982218459
"205343_at.t","205343_at",-3.10893361652758,0.0023015078440847,0.0031320964527055
"205357_s_at.t","205357_s_at",10.3413366714834,4.38766211352613e-15,1.1826603337691e-14
"205381_at.t","205381_at",7.5946771445458,1.19003682736626e-11,2.52697140457385e-11
"205399_at.t","205399_at",9.57042539189936,1.94555114137566e-14,4.98100133352195e-14
"205404_at.t","205404_at",10.7238084342069,3.93498215080308e-18,1.33579992746774e-17
"205407_at.t","205407_at",15.0779540718925,1.52161937810021e-26,1.00848453154607e-25
"205422_s_at.t","205422_s_at",13.6476855960396,1.73788949970073e-21,7.58036702006214e-21
"205428_s_at.t","205428_s_at",7.45149337525311,1.81523080907104e-10,3.61864370922885e-10
"205433_at.t","205433_at",8.6353807599447,3.13960651470922e-12,6.95620488280725e-12
"205442_at.t","205442_at",3.91799763162319,0.000142901391991002,0.000209561332507877
"205472_s_at.t","205472_s_at",-5.64737576361439,1.65330402888649e-07,2.8504599867401e-07
"205475_at.t","205475_at",7.95018221554641,3.82464107664799e-11,7.87032995745708e-11
"205476_at.t","205476_at",-7.42760377689317,1.76765029711524e-11,3.73794558685558e-11
